Наименование;Артикул;Цена;Документы;Характеристики;Количество
Блок питания панельный OptiPower LRS 350-12 29A;328888;4742.63;"Сайт https://keaz.ru/catalog/product/328888
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 29;189
Блок питания панельный OptiPower LRS 350-24 14.6A;328889;4493.02;"Сайт https://keaz.ru/catalog/product/328889
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 14.6;145
Блок питания панельный OptiPower LRS 35-12 3A;328864;1363.72;"Сайт https://keaz.ru/catalog/product/328864
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 3;184
Блок питания панельный OptiPower LRS 35-24 1.5A;328865;1363.72;"Сайт https://keaz.ru/catalog/product/328865
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 1.5;1323
Блок питания панельный OptiPower LRS 400-12 33.3A;328890;4860.85;"Сайт https://keaz.ru/catalog/product/328890
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 33;367
Блок питания панельный OptiPower LRS 400-24 16.6A;328891;4860.85;"Сайт https://keaz.ru/catalog/product/328891
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 16.5;479
Блок питания панельный OptiPower LRS 50-12 4.2A;328868;1586.67;"Сайт https://keaz.ru/catalog/product/328868
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 4.2;190
Блок питания панельный OptiPower LRS 50-24 2.2A;328872;1586.67;"Сайт https://keaz.ru/catalog/product/328872
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 2.2;982
Блок питания панельный OptiPower LRS 60-12 5A;328873;1785.75;"Сайт https://keaz.ru/catalog/product/328873
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 5;0
Блок питания панельный OptiPower LRS 60-24 2.5A;328875;1656.88;"Сайт https://keaz.ru/catalog/product/328875
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 2.5;2838
Блок питания панельный OptiPower LRS 75-12 6A;328876;2054.38;"Сайт https://keaz.ru/catalog/product/328876
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 6;596
Блок питания панельный OptiPower LRS 75-24 3.5A;328877;1906.13;"Сайт https://keaz.ru/catalog/product/328877
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower LRS https://files.keaz.ru/f/38768/rukovodstvo-po-ekspluatacii-optipower-lrs.pdf
Руководство по эксплуатацаии OptiPower LRS https://files.keaz.ru/f/37063/rukovodstvo-po-ekspluatacaii-optipower-lrs.pdf";Выходной ток (A) = 3.2;205
Блок питания OptiPower MDR-100-24-1;284542;6605.57;"Сайт https://keaz.ru/catalog/product/284542
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower https://files.keaz.ru/f/15518/re-optipower-2019.pdf";Выходной ток (A) = 4;3680
Блок питания OptiPower MDR-10-24-1;284538;2696.99;"Сайт https://keaz.ru/catalog/product/284538
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower https://files.keaz.ru/f/15518/re-optipower-2019.pdf";Выходной ток (A) = 0.42;1035
Блок питания OptiPower MDR-20-24-1;284539;2849.77;"Сайт https://keaz.ru/catalog/product/284539
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower https://files.keaz.ru/f/15518/re-optipower-2019.pdf";Выходной ток (A) = 0.83;3854
Блок питания OptiPower MDR-40-24-1;284540;3232.45;"Сайт https://keaz.ru/catalog/product/284540
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower https://files.keaz.ru/f/15518/re-optipower-2019.pdf";Выходной ток (A) = 1.7;4109
Блок питания OptiPower MDR-60-24-1;284541;4340.46;"Сайт https://keaz.ru/catalog/product/284541
Каталог OptiPower https://files.keaz.ru/f/17642/keaz-optima-asu-tp.pdf
Руководство по эксплуатации OptiPower https://files.keaz.ru/f/15518/re-optipower-2019.pdf";Выходной ток (A) = 2.5;2933
Модуль аналогового ввода OptiLogic L-AI-4;288023;20952.28;"Сайт https://keaz.ru/catalog/product/288023
Паспорт OptiLogic L AI-4 https://files.keaz.ru/f/19097/ai-4.pdf
Руководство по эксплуатации OptiLogic L AI-4 https://files.keaz.ru/f/19155/re-ai-4.pdf
Каталог OptiLogic L https://files.keaz.ru/f/19568/optilogic-011020.pdf";;10
Модуль аналогового ввода OptiLogic L-AI-8;288027;29681.38;"Сайт https://keaz.ru/catalog/product/288027
Паспорт OptiLogic L AI-8 https://files.keaz.ru/f/19098/ai-8.pdf
Руководство по эксплуатации OptiLogic L AI-8 https://files.keaz.ru/f/19156/re-ai-8.pdf
Каталог OptiLogic L https://files.keaz.ru/f/19568/optilogic-011020.pdf";;5
Модуль аналогового вывода OptiLogic L-AO-2;288024;32300.72;"Сайт https://keaz.ru/catalog/product/288024
Паспорт OptiLogic L A0-2 https://files.keaz.ru/f/19094/a0-2.pdf
Руководство по эксплуатации OptiLogic L AO-2 https://files.keaz.ru/f/19157/re-ao-2.pdf
Каталог OptiLogic L https://files.keaz.ru/f/19568/optilogic-011020.pdf";;32
Модуль аналогового вывода OptiLogic L-AO-4;288028;40157.52;"Сайт https://keaz.ru/catalog/product/288028
Паспорт OptiLogic L AО-4 https://files.keaz.ru/f/19099/ao-4.pdf
Руководство по эксплуатации OptiLogic L AO-4 https://files.keaz.ru/f/19158/re-ao-4.pdf
Каталог OptiLogic L https://files.keaz.ru/f/19568/optilogic-011020.pdf";;7
Модуль дискретного ввода OptiLogic L-DI-16;288026;22698.1;"Сайт https://keaz.ru/catalog/product/288026
Паспорт OptiLogic L DI-16 https://files.keaz.ru/f/19105/di-16.pdf
Руководство по эксплуатации OptiLogic L DI-16 https://files.keaz.ru/f/19173/re-di-16.pdf
Каталог OptiLogic L https://files.keaz.ru/f/19568/optilogic-011020.pdf";;0
Модуль дискретного ввода OptiLogic L-DI-8;288020;15713.6;"Сайт https://keaz.ru/catalog/product/288020
Паспорт OptiLogic L DI-8 https://files.keaz.ru/f/19104/di-8.pdf
Руководство по эксплуатации OptiLogic L DI-8 https://files.keaz.ru/f/19172/re-di-8.pdf
Каталог OptiLogic L https://files.keaz.ru/f/19568/optilogic-011020.pdf";;1
Модуль дискретного вывода OptiLogic L-DO-16;288025;27935.56;"Сайт https://keaz.ru/catalog/product/288025
Паспорт OptiLogic L DО-16 https://files.keaz.ru/f/19107/do-16.pdf
Руководство по эксплуатации OptiLogic L DO-16 https://files.keaz.ru/f/19175/re-do-16.pdf
Каталог OptiLogic L https://files.keaz.ru/f/19568/optilogic-011020.pdf";;12
Модуль дискретного вывода OptiLogic L-DO-8;288019;20952.28;"Сайт https://keaz.ru/catalog/product/288019
Паспорт OptiLogic L DO-8 https://files.keaz.ru/f/19106/do-8.pdf
Руководство по эксплуатации OptiLogic L DO-8 https://files.keaz.ru/f/19174/re-do-8.pdf
Каталог OptiLogic L https://files.keaz.ru/f/19568/optilogic-011020.pdf";;7
Модуль процессорный OptiLogic L-CPU-1-L;293074;124013.0;"Сайт https://keaz.ru/catalog/product/293074
Паспорт OptiLogic L CPU-1 https://files.keaz.ru/f/19100/cpu-1-pechat.pdf
Руководство по эксплуатации OptiLogic L CPU-1 https://files.keaz.ru/f/19221/re-cpu-1.pdf
Каталог OptiLogic L https://files.keaz.ru/f/19568/optilogic-011020.pdf";;1
Модуль процессорный OptiLogic L-CPU-1-M;293070;128908.86;"Сайт https://keaz.ru/catalog/product/293070
Паспорт OptiLogic L CPU-1 https://files.keaz.ru/f/19100/cpu-1-pechat.pdf
Руководство по эксплуатации OptiLogic L CPU-1 https://files.keaz.ru/f/19221/re-cpu-1.pdf
Каталог OptiLogic L https://files.keaz.ru/f/19568/optilogic-011020.pdf";;5
Модуль процессорный OptiLogic L-CPU-2-01-L;293076;81587.5;"Сайт https://keaz.ru/catalog/product/293076
Паспорт OptiLogic L CPU-2-01 https://files.keaz.ru/f/19102/cpu-2-01.pdf
Руководство по эксплуатации OptiLogic L CPU-2, CPU-2-01 https://files.keaz.ru/f/19222/re-cpu-2-cpu-2-01.pdf
Каталог OptiLogic L https://files.keaz.ru/f/19568/optilogic-011020.pdf";;0
Модуль процессорный OptiLogic L-CPU-2-01-M;293072;86483.36;"Сайт https://keaz.ru/catalog/product/293072
Паспорт OptiLogic L CPU-2-01 https://files.keaz.ru/f/19102/cpu-2-01.pdf
Руководство по эксплуатации OptiLogic L CPU-2, CPU-2-01 https://files.keaz.ru/f/19222/re-cpu-2-cpu-2-01.pdf
Каталог OptiLogic L https://files.keaz.ru/f/19568/optilogic-011020.pdf";;1
Модуль процессорный OptiLogic L-CPU-2-L;293075;78324.0;"Сайт https://keaz.ru/catalog/product/293075
Паспорт OptiLogic L CPU-2 https://files.keaz.ru/f/19101/cpu-2.pdf
Руководство по эксплуатации OptiLogic L CPU-2, CPU-2-01 https://files.keaz.ru/f/19222/re-cpu-2-cpu-2-01.pdf
Каталог OptiLogic L https://files.keaz.ru/f/19568/optilogic-011020.pdf";;0
Модуль процессорный OptiLogic L-CPU-2-M;293071;83219.86;"Сайт https://keaz.ru/catalog/product/293071
Паспорт OptiLogic L CPU-2 https://files.keaz.ru/f/19101/cpu-2.pdf
Руководство по эксплуатации OptiLogic L CPU-2, CPU-2-01 https://files.keaz.ru/f/19222/re-cpu-2-cpu-2-01.pdf
Каталог OptiLogic L https://files.keaz.ru/f/19568/optilogic-011020.pdf";;0
Модуль процессорный OptiLogic L-CPU-3-M;293073;109327.86;"Сайт https://keaz.ru/catalog/product/293073
Паспорт OptiLogic L CPU-3 https://files.keaz.ru/f/19103/cpu-3.pdf
Руководство по эксплуатации OptiLogic L CPU-3 https://files.keaz.ru/f/19223/re-cpu-3.pdf
Каталог OptiLogic L https://files.keaz.ru/f/19568/optilogic-011020.pdf";;14
